File	Accession	Alias	Sampling Campaign	Sampling Station	Sampling Platform	Event Label	Event Date/Time Start	Event Date/Time End	Latitude Start	Latitude Start Unit	Longitude Start	Longitude Start Unit	Latitude End	Latitude End Unit	Longitude End	Longitude End Unit	Depth	Depth Unit	Sample Collection Device	Protocol Label	Size Fraction Lower Threshold	Size Fraction Upper Threshold	Sample Status	Last Update Date	Marine Region	Temperature	Temperature Unit	Salinity Sensor	Salinity Sensor Unit	Oxygen Sensor	Oxygen Sensor Unit	Nitrate Sensor	Nitrate Sensor Unit	Chlorophyll Sensor	Chlorophyll Sensor Unit	Environment (Biome)	Environment (Feature)	Environment (Material)	Environmental Package	Citation	Further Details	Project Name	ENA-CHECKLIST	ENA-SPOT-COUNT	ENA-BASE-COUNT	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE	
ERR562686	ERS489263	TARA_N000000261	TARA_20100410Z	TARA_045	SV Tara	TARA_20100413T1115Z_045_EVENT_NET	2010-04-13T11:15	2010-04-13T11:29	0.2153	DD	71.8436	DD	0.2191	DD	71.8511	DD	5	m	"PLANKTON NET, TYPE=Bongo, MESH_Size_(�m)=180, MOUTH_Opening_(m^2)=0.258319, LENGTH_(m)=3"	PROT_NUC-RNA(1L)_N180-2000	180	2000	This version can be used to provide data discovery services	2014-05-01Z	"(search radius=5 degrees) Marine Province:Central Indian Ocean Islands (MRGID:21774), Marine Ecoregion:Maldives (MRGID:21835)"	30.496383	ºC	35.091133	psu	185.243833	µmol/kg	2.575786	µmol/L	0.026898	mg Chl/m3	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)	"particulate matter, including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	Tara Oceans expedition (2009-2013)	ERC000030	175362955	35112657514	2014-07-15	2015-11-04	
ERR562528	ERS487935	TARA_X000000361	TARA_20090913Z	TARA_004	SV Tara	TARA_20090915T1600Z_004_EVENT_NET	2009-09-15T16:00	2009-09-15T16:30	36.5533	DD	-6.5669	DD	35.5572	DD	-6.5587	DD	40	m	"PLANKTON NET, TYPE=Bongo, MESH_Size_(�m)=180, MOUTH_Opening_(m^2)=0.258319, LENGTH_(m)=3"	PROT_NUC-RNA(1L)_N180-2000	180	2000	This version can be used to provide data discovery services	2014-05-01Z	(search radius=5 degrees) Marine Ecoregion:Alboran Sea (MRGID:3324)	16.246331	ºC	36.556443	psu	99999	µmol/kg	99999	µmol/L	0.880307	mg Chl/m3	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"particulate matter, including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	Tara Oceans expedition (2009-2013)	ERC000030	2521046	761068314	2014-07-15	2015-11-04	
ERR562565	ERS490606	TARA_N000000920	TARA_20101003Z	TARA_076	SV Tara	TARA_20101016T1700Z_076_Combined-EVENTS_CAST	2010-10-16T16:58:37	2010-10-16T18:43	-21.0292	DD	-35.3498	DD	-21.0675	DD	-35.3923	DD	150	m	ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles	PROT_NUC-RNA(100L)_W0.8->	0.8	>	This version can be used to provide data discovery services	2014-05-01Z	"(search radius=5 degrees) Marine Ecoregion:Trindade and Martin Vaz Islands (MRGID:21989), Marine Ecoregion:Eastern Brazil (MRGID:21990)"	21.643283	ºC	36.724683	psu	203.814833	µmol/kg	0.580918	µmol/L	0.150865	mg Chl/m3	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"particulate matter, including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	Tara Oceans expedition (2009-2013)	ERC000030	174841797	34226343256	2014-07-15	2015-11-04	
ERR562396	ERS488810	TARA_N000000037	TARA_20100309Z	TARA_038	SV Tara	TARA_20100315T0335Z_038_EVENT_PUMP	2010-03-15T03:35	2010-03-15T05:53	19.0393	DD	64.4913	DD	19.0342	DD	64.5162	DD	5	m	PUMP (High Volume Peristaltic Pump)	PROT_NUC-DNA(1L)_W5-20	5	20	This version can be used to provide data discovery services	2014-05-01Z	n/a	26.2314	ºC	36.617917	psu	199.9355	µmol/kg	0.889376	µmol/L	0.161808	mg Chl/m3	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)	"particulate matter, including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	Tara Oceans expedition (2009-2013)	ERC000030	8399611	2444513747	2014-07-15	2015-11-04	
ERR562505	ERS490362	TARA_N000000662	TARA_20100905Z	TARA_070	SV Tara	TARA_20100921T0823Z_070_EVENT_NET	2010-09-21T08:23	2010-09-21T08:40	-20.3943	DD	-3.2085	DD	-20.392	DD	-3.2158	DD	5	m	"PLANKTON NET, TYPE=Double, MESH_Size_(�m)=20, MOUTH_Opening_(m^2)=0.192442, LENGTH_(m)=2.5"	PROT_NUC-RNA(1L)_N20-180	20	180	This version can be used to provide data discovery services	2014-05-01Z	n/a	19.776808	ºC	36.376225	psu	215.650833	µmol/kg	0.168013	µmol/L	0.324315	mg Chl/m3	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)	"particulate matter, including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	Tara Oceans expedition (2009-2013)	ERC000030	411284397	80785833037	2014-07-15	2015-11-04	
ERR562533	ERS478011	TARA_A100000556	TARA_20091111Z	TARA_023	SV Tara	TARA_20091118T1352Z_023_EVENT_NET	2009-11-18T13:52Z	2009-11-18T14:06Z	42.1694	DD	17.7179	DD	42.169	DD	17.718	DD	50	m	PLANKTON NET, TYPE=Double, MESH_Size_(�m)=20, MOUTH_Opening_(m^2)=0.192442, LENGTH_(m)=2.5	PROT_NUC-RNA(1L)_N20-180	20	180	This version is NOT FINAL but can be used to provide data discovery services	2014-05-01Z	(search radius=5 degree) Marine Ecoregion:Adriatic Sea (MRGID:3314), Marine Ecoregion:Ionian Sea (MRGID:3351)	15.868114	ºC	38.340893	psu	226.595929	µmol/kg	99999	µmol/L	0.0774	mg Chl/m3	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	particulate matter, including plankton (ENVO:xxxxxxxx)	water	tbd	tbd	Tara Oceans	ERC000030	6941761	1626584326	2014-06-26	2014-11-06	
ERR562717	ERS490115	TARA_N000000965	TARA_20100624Z	TARA_065	SV Tara	TARA_20100712T1106Z_065_Combined-EVENTS_CAST	2010-07-12T11:03:22	2010-07-12T12:12	-35.2421	DD	26.3048	DD	-35.2528	DD	26.317	DD	30	m	ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles	PROT_NUC-RNA(1L)_W5-20	5	20	This version can be used to provide data discovery services	2014-05-01Z	"(search radius=5 degrees) Marine Province:Agulhas (MRGID:21760),  Marine Province:Northern New Zealand (MRGID:21786), Marine Ecoregion:Natal (MRGID:21805), Marine Ecoregion:Agulhas Bank (MRGID:21806)"	21.81495	ºC	99999	psu	206.43725	µmol/kg	99999	µmol/L	0.272648	mg Chl/m3	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"particulate matter, including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	Tara Oceans expedition (2009-2013)	ERC000030	172148590	34234941824	2014-07-15	2015-11-04	
ERR562415	ERS490019	TARA_N000000524	TARA_20100624Z	TARA_064	SV Tara	TARA_20100708T0621Z_064_EVENT_PUMP	2010-07-08T06:21	2010-07-08T08:50	-29.5333	DD	37.9117	DD	-29.5123	DD	37.8586	DD	65	m	PUMP (High Volume Peristaltic Pump) with ECOTriplet	PROT_NUC-RNA(100L)_W0.8-5	0.8	5	This version can be used to provide data discovery services	2014-05-01Z	n/a	22.250309	ºC	35.335545	psu	207.446227	µmol/kg	-0.112031	µmol/L	0.214573	mg Chl/m3	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"particulate matter, including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	Tara Oceans expedition (2009-2013)	ERC000030	151721116	30296990795	2014-07-15	2015-11-04	
ERR562660	ERS490172	TARA_N000000807	TARA_20100624Z	TARA_066	SV Tara	TARA_20100715T1539Z_066_Combined-EVENTS_CAST	2010-07-15T15:36:10	2010-07-15T17:40	-34.8901	DD	18.0459	DD	-34.8477	DD	18.1136	DD	30	m	ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles	PROT_NUC-RNA(100L)_W0.8-5	0.8	5	This version can be used to provide data discovery services	2014-05-01Z	(search radius=5 degrees) Marine Ecoregion:Agulhas Bank (MRGID:21806)	15.01895	ºC	35.3315	psu	240.4135	µmol/kg	99999	µmol/L	0.424363	mg Chl/m3	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"particulate matter, including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	Tara Oceans expedition (2009-2013)	ERC000030	4543291179	886334796403	2014-07-15	2015-11-04	
ERR562562	ERS488539	TARA_S400007202	TARA_20091122Z	TARA_026	SV Tara	TARA_20091124T0744Z_026_EVENT_NET	2009-11-24T07:44	2009-11-24T07:58	38.4735	DD	20.1718	DD	38.4663	DD	20.1753	DD	5	m	"PLANKTON NET, TYPE=Double, MESH_Size_(�m)=20, MOUTH_Opening_(m^2)=0.192442, LENGTH_(m)=2.5"	PROT_NUC-RNA(1L)_N20-180	20	180	This version can be used to provide data discovery services	2014-05-01Z	"(search radius=5 degrees) Marine Province:Mediterranean Sea (MRGID:8552), Marine Ecoregion:Ionian Sea (MRGID:3351)"	19.168658	ºC	38.356667	psu	212.903417	µmol/kg	99999	µmol/L	0.121845	mg Chl/m3	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)	"particulate matter, including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	Tara Oceans expedition (2009-2013)	ERC000030	318269043	61515822451	2014-07-15	2015-11-04	
ERR562546	ERS490947	TARA_N000001392	TARA_20101126Z	TARA_082	SV Tara	TARA_20101206T1858Z_082_EVENT_PUMP	2010-12-06T18:58	2010-12-06T22:11	-47.2007	DD	-57.9446	DD	-47.1208	DD	-57.8265	DD	40	m	PUMP (High Volume Peristaltic Pump) with ECOTriplet	PROT_NUC-RNA(1L)_W5-20	5	20	This version can be used to provide data discovery services	2014-05-01Z	(search radius=5 degrees) Marine Ecoregion:Malvinas/Falklands (MRGID:21890)	6.975635	ºC	34.057594	psu	306.211529	µmol/kg	17.111823	µmol/L	1.01772	mg Chl/m3	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"particulate matter, including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	Tara Oceans expedition (2009-2013)	ERC000030	161471153	32116421317	2014-07-15	2015-11-04	
ERR562507	ERS489143	TARA_N000000088	TARA_20100327Z	TARA_042	SV Tara	TARA_20100404T0950Z_042_EVENT_PUMP	2010-04-04T09:50	2010-04-04T11:50	5.9998	DD	73.9067	DD	5.9997	DD	73.914	DD	80	m	PUMP (High Volume Peristaltic Pump) with ECOTriplet	PROT_NUC-RNA(1L)_W5-20	5	20	This version can be used to provide data discovery services	2014-05-01Z	"(search radius=5 degrees) Marine Province:Central Indian Ocean Islands (MRGID:21774), Marine Ecoregion:Maldives (MRGID:21835)"	27.723425	ºC	35.103505	psu	132.77885	µmol/kg	0.569531	µmol/L	0.388348	mg Chl/m3	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"particulate matter, including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	Tara Oceans expedition (2009-2013)	ERC000030	2133838	644173115	2014-07-15	2015-11-04	
ERR562519	ERS489955	TARA_N000000928	TARA_20100624Z	TARA_064	SV Tara	TARA_20100707T0714Z_064_EVENT_NET	2010-07-07T07:14	2010-07-07T07:27	-29.4991	DD	37.9938	DD	-29.4993	DD	37.994	DD	5	m	"PLANKTON NET, TYPE=Single, MESH_Size_(�m)=5, MOUTH_Opening_(m^2)=0.196349, LENGTH_(m)=2.5"	PROT_NUC-RNA(1L)_N5-20	5	20	This version can be used to provide data discovery services	2014-05-01Z	n/a	22.222092	ºC	35.3215	psu	209.639083	µmol/kg	-0.166794	µmol/L	0.118772	mg Chl/m3	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)	"particulate matter, including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	Tara Oceans expedition (2009-2013)	ERC000030	165789355	32880076573	2014-07-15	2015-11-04	
ERR562567	ERS490174	TARA_N000000791	TARA_20100624Z	TARA_066	SV Tara	TARA_20100715T1539Z_066_Combined-EVENTS_CAST	2010-07-15T15:36:10	2010-07-15T17:40	-34.8901	DD	18.0459	DD	-34.8477	DD	18.1136	DD	30	m	ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles	PROT_NUC-RNA(1L)_W5-20	5	20	This version can be used to provide data discovery services	2014-05-01Z	(search radius=5 degrees) Marine Ecoregion:Agulhas Bank (MRGID:21806)	15.01895	ºC	35.3315	psu	240.4135	µmol/kg	99999	µmol/L	0.424363	mg Chl/m3	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"particulate matter, including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	Tara Oceans expedition (2009-2013)	ERC000030	328532474	62071995565	2014-07-15	2015-11-04	
ERR562587	ERS489108	TARA_N000000087	TARA_20100327Z	TARA_042	SV Tara	TARA_20100404T0247Z_042_EVENT_PUMP	2010-04-04T02:47	2010-04-04T06:33	6.0001	DD	73.8955	DD	6.0124	DD	73.8985	DD	5	m	PUMP (High Volume Peristaltic Pump)	PROT_NUC-RNA(1L)_W5-20	5	20	This version can be used to provide data discovery services	2014-05-01Z	"(search radius=5 degrees) Marine Province:Central Indian Ocean Islands (MRGID:21774), Marine Ecoregion:Maldives (MRGID:21835)"	29.980283	ºC	34.56155	psu	189.25475	µmol/kg	-1.47882	µmol/L	0.006724	mg Chl/m3	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)	"particulate matter, including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	Tara Oceans expedition (2009-2013)	ERC000030	3208350	968818017	2014-07-15	2015-11-04	
ERR562369	ERS490172	TARA_N000000807	TARA_20100624Z	TARA_066	SV Tara	TARA_20100715T1539Z_066_Combined-EVENTS_CAST	2010-07-15T15:36:10	2010-07-15T17:40	-34.8901	DD	18.0459	DD	-34.8477	DD	18.1136	DD	30	m	ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles	PROT_NUC-RNA(100L)_W0.8-5	0.8	5	This version can be used to provide data discovery services	2014-05-01Z	(search radius=5 degrees) Marine Ecoregion:Agulhas Bank (MRGID:21806)	15.01895	ºC	35.3315	psu	240.4135	µmol/kg	99999	µmol/L	0.424363	mg Chl/m3	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"particulate matter, including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	Tara Oceans expedition (2009-2013)	ERC000030	4543291179	886334796403	2014-07-15	2015-11-04	
ERR562647	ERS490448	TARA_N000000831	TARA_20101003Z	TARA_072	SV Tara	TARA_20101005T0800Z_072_EVENT_PUMP	2010-10-05T08:00	2010-10-05T09:23	-8.7789	DD	-17.9099	DD	-8.7788	DD	-17.9098	DD	5	m	PUMP (High Volume Peristaltic Pump)	PROT_NUC-RNA(100L)_W0.8-5	0.8	5	This version can be used to provide data discovery services	2014-05-01Z	n/a	25.02619	ºC	36.42324	psu	199.1195	µmol/kg	0.263475	µmol/L	0.050608	mg Chl/m3	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)	"particulate matter, including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	Tara Oceans expedition (2009-2013)	ERC000030	161257596	32193542740	2014-07-15	2015-11-04	
ERR562466	ERS488554	TARA_A100001433	TARA_20100108Z	TARA_031	SV Tara	TARA_20100109T0715Z_031_EVENT_PUMP	2010-01-09T07:15	2010-01-09T11:20	27.16	DD	27.1433	DD	34.835	DD	34.8033	DD	5	m	PUMP (High Volume Peristaltic Pump)	PROT_NUC-RNA(100L)_W0.8-20	0.8	20	This version can be used to provide data discovery services	2014-05-01Z	(search radius=5 degrees) Marine Ecoregion:Northern and Central Red Sea (MRGID:21919)	25.0621	ºC	39.981867	psu	188.763583	µmol/kg	-0.137284	µmol/L	0.048898	mg Chl/m3	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)	"particulate matter, including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	Tara Oceans expedition (2009-2013)	ERC000030	158461892	31104612278	2014-07-15	2015-11-04	
ERR562680	ERS490699	TARA_N000000618	TARA_20101031Z	TARA_078	SV Tara	TARA_20101104T1816Z_078_Combined-EVENTS_CAST	2010-11-04T18:16:53	2010-11-04T21:18	-30.1484	DD	-43.2705	DD	-30.1495	DD	-43.2486	DD	120	m	ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles	PROT_NUC-RNA(100L)_W0.8->	0.8	>	This version can be used to provide data discovery services	2014-05-01Z	n/a	19.30925	ºC	36.27495	psu	217.140667	µmol/kg	0.478929	µmol/L	0.226052	mg Chl/m3	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"particulate matter, including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	Tara Oceans expedition (2009-2013)	ERC000030	400426707	76400518229	2014-07-15	2015-11-04	
ERR562603	ERS490701	TARA_N000000622	TARA_20101031Z	TARA_078	SV Tara	TARA_20101104T1816Z_078_Combined-EVENTS_CAST	2010-11-04T18:16:53	2010-11-04T21:18	-30.1484	DD	-43.2705	DD	-30.1495	DD	-43.2486	DD	120	m	ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles	PROT_NUC-RNA(100L)_W0.8-5	0.8	5	This version can be used to provide data discovery services	2014-05-01Z	n/a	19.30925	ºC	36.27495	psu	217.140667	µmol/kg	0.478929	µmol/L	0.226052	mg Chl/m3	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"particulate matter, including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	Tara Oceans expedition (2009-2013)	ERC000030	176285828	34710293218	2014-07-15	2015-11-04	
