study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJEB6610	SAMEA2620847	ERS490021	ERX521706	ERR562372	408172	marine metagenome	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562372/ERR562372_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562372/ERR562372_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562372/ERR562372_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562372/ERR562372_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_AICOSW_1_1_H0HVYADXX.IND12_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_AICOSW_1_2_H0HVYADXX.IND12_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_AICOSW_1_1_H0HVYADXX.IND12_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_AICOSW_1_2_H0HVYADXX.IND12_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR562/ERR562372	ftp.sra.ebi.ac.uk/vol1/err/ERR562/ERR562372		
PRJEB6610	SAMEA2619788	ERS488515	ERX521509	ERR562373	408172	marine metagenome	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562373/ERR562373_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562373/ERR562373_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562373/ERR562373_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562373/ERR562373_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_AEMOSW_1_1_70H17AAXX.IND12.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_AEMOSW_1_2_70H17AAXX.IND12.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_AEMOSW_1_1_70H17AAXX.IND12.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_AEMOSW_1_2_70H17AAXX.IND12.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR562/ERR562373	ftp.sra.ebi.ac.uk/vol1/err/ERR562/ERR562373		
PRJEB6610	SAMEA2656995	ERS489067	ERX521590	ERR562374	408172	marine metagenome	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562374/ERR562374_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562374/ERR562374_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562374/ERR562374_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562374/ERR562374_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_AHQOSW_3_1_70H17AAXX.IND12.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_AHQOSW_3_2_70H17AAXX.IND12.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_AHQOSW_3_1_70H17AAXX.IND12.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_AHQOSW_3_2_70H17AAXX.IND12.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR562/ERR562374	ftp.sra.ebi.ac.uk/vol1/err/ERR562/ERR562374		
PRJEB6610	SAMEA2657009	ERS490261	ERX521697	ERR562375	408172	marine metagenome	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562375/ERR562375_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562375/ERR562375_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562375/ERR562375_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562375/ERR562375_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_AVDOSW_8_1_70DGUAAXX.IND1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_AVDOSW_8_2_70DGUAAXX.IND1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_AVDOSW_8_1_70DGUAAXX.IND1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_AVDOSW_8_2_70DGUAAXX.IND1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR562/ERR562375	ftp.sra.ebi.ac.uk/vol1/err/ERR562/ERR562375		
PRJEB6610	SAMEA2657078	ERS490911	ERX521540	ERR562376	408172	marine metagenome	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562376/ERR562376_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562376/ERR562376_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562376/ERR562376_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562376/ERR562376_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_ARMOSW_5_1_70DGUAAXX.IND4.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_ARMOSW_5_2_70DGUAAXX.IND4.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_ARMOSW_5_1_70DGUAAXX.IND4.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_ARMOSW_5_2_70DGUAAXX.IND4.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR562/ERR562376	ftp.sra.ebi.ac.uk/vol1/err/ERR562/ERR562376		
PRJEB6610	SAMEA2657110	ERS488896	ERX521754	ERR562377	408172	marine metagenome	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562377/ERR562377_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562377/ERR562377_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562377/ERR562377_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562377/ERR562377_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_AGVOSW_1_1_H0HVYADXX.IND2_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_AGVOSW_1_2_H0HVYADXX.IND2_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_AGVOSW_1_1_H0HVYADXX.IND2_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_AGVOSW_1_2_H0HVYADXX.IND2_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR562/ERR562377	ftp.sra.ebi.ac.uk/vol1/err/ERR562/ERR562377		
PRJEB6610	SAMEA2620988	ERS490201	ERX521413	ERR562378	408172	marine metagenome	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562378/ERR562378_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562378/ERR562378_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562378/ERR562378_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562378/ERR562378_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_AMDOSW_1_1_64MD3AAXX.IND2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_AMDOSW_1_2_64MD3AAXX.IND2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_AMDOSW_1_1_64MD3AAXX.IND2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_AMDOSW_1_2_64MD3AAXX.IND2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR562/ERR562378	ftp.sra.ebi.ac.uk/vol1/err/ERR562/ERR562378		
PRJEB6610	SAMEA2656959	ERS491732	ERX521715	ERR562379	408172	marine metagenome	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562379/ERR562379_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562379/ERR562379_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562379/ERR562379_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562379/ERR562379_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_ASROSW_6_1_64MD3AAXX.IND5.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_ASROSW_6_2_64MD3AAXX.IND5.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_ASROSW_6_1_64MD3AAXX.IND5.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_ASROSW_6_2_64MD3AAXX.IND5.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR562/ERR562379	ftp.sra.ebi.ac.uk/vol1/err/ERR562/ERR562379		
PRJEB6610	SAMEA2622128	ERS491883	ERX521556	ERR562380	408172	marine metagenome	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562380/ERR562380_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562380/ERR562380_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562380/ERR562380_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562380/ERR562380_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_APROSW_3_1_64MD3AAXX.IND6.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_APROSW_3_2_64MD3AAXX.IND6.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_APROSW_3_1_64MD3AAXX.IND6.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_APROSW_3_2_64MD3AAXX.IND6.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR562/ERR562380	ftp.sra.ebi.ac.uk/vol1/err/ERR562/ERR562380		
PRJEB6610	SAMEA2621440	ERS490945	ERX521663	ERR562381	408172	marine metagenome	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562381/ERR562381_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562381/ERR562381_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562381/ERR562381_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562381/ERR562381_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_ARGOSW_7_1_70DGUAAXX.IND7.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_ARGOSW_7_2_70DGUAAXX.IND7.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_ARGOSW_7_1_70DGUAAXX.IND7.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_ARGOSW_7_2_70DGUAAXX.IND7.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR562/ERR562381	ftp.sra.ebi.ac.uk/vol1/err/ERR562/ERR562381		
PRJEB6610	SAMEA2657072	ERS491970	ERX521588	ERR562382	408172	marine metagenome	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562382/ERR562382_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562382/ERR562382_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562382/ERR562382_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562382/ERR562382_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_ANEOSW_6_1_D0803ACXX.IND2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_ANEOSW_6_2_D0803ACXX.IND2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_ANEOSW_6_1_D0803ACXX.IND2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_ANEOSW_6_2_D0803ACXX.IND2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR562/ERR562382	ftp.sra.ebi.ac.uk/vol1/err/ERR562/ERR562382		
PRJEB6610	SAMEA2657053	ERS490473	ERX521720	ERR562383	408172	marine metagenome	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562383/ERR562383_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562383/ERR562383_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562383/ERR562383_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562383/ERR562383_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_AQQOSW_5_1_64MD3AAXX.IND9.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_AQQOSW_5_2_64MD3AAXX.IND9.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_AQQOSW_5_1_64MD3AAXX.IND9.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_AQQOSW_5_2_64MD3AAXX.IND9.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR562/ERR562383	ftp.sra.ebi.ac.uk/vol1/err/ERR562/ERR562383		
