Sample	Location	LocIndex
smp_SRS011444	right_antecubital_fossa	14
smp_SRS011446	vaginal_introitus	15
smp_SRS011448	mid_vagina	16
smp_SRS011450	posterior_fornix	17
smp_SRS011452	stool	0
smp_SRS011454	saliva	4
smp_SRS011456	tongue_dorsum	1
smp_SRS011458	hard_palate	6
smp_SRS011460	buccal_mucosa	7
smp_SRS011462	attached_keratinized_gingiva	5
smp_SRS011464	palatine_tonsils	2
smp_SRS011466	throat	3
smp_SRS011468	supragingival_plaque	8
smp_SRS011470	subgingival_plaque	9
smp_SRS011472	left_retroauricular_crease	10
smp_SRS011474	right_retroauricular_crease	11
smp_SRS011475	left_antecubital_fossa	13
smp_SRS011477	right_antecubital_fossa	14
smp_SRS011479	anterior_nares	12
smp_SRS011482	saliva	4
smp_SRS011484	tongue_dorsum	1
smp_SRS011485	hard_palate	6
smp_SRS011486	buccal_mucosa	7
smp_SRS011488	attached_keratinized_gingiva	5
smp_SRS011490	palatine_tonsils	2
smp_SRS011492	throat	3
smp_SRS011494	supragingival_plaque	8
smp_SRS011496	subgingival_plaque	9
smp_SRS011497	left_retroauricular_crease	10
smp_SRS011498	right_retroauricular_crease	11
smp_SRS011499	left_antecubital_fossa	13
smp_SRS011500	right_antecubital_fossa	14
smp_SRS011502	anterior_nares	12
smp_SRS011504	saliva	4
smp_SRS011506	tongue_dorsum	1
smp_SRS011508	hard_palate	6
smp_SRS011510	buccal_mucosa	7
smp_SRS011512	attached_keratinized_gingiva	5
smp_SRS011514	palatine_tonsils	2
smp_SRS011516	throat	3
smp_SRS011518	supragingival_plaque	8
smp_SRS011520	subgingival_plaque	9
smp_SRS011521	anterior_nares	12
smp_SRS011523	vaginal_introitus	15
smp_SRS011525	mid_vagina	16
smp_SRS011527	posterior_fornix	17
smp_SRS011529	stool	0
smp_SRS011531	saliva	4
smp_SRS011533	tongue_dorsum	1
smp_SRS011535	hard_palate	6
smp_SRS011537	buccal_mucosa	7
smp_SRS011539	attached_keratinized_gingiva	5
smp_SRS011541	palatine_tonsils	2
smp_SRS011543	throat	3
smp_SRS011545	supragingival_plaque	8
smp_SRS011547	subgingival_plaque	9
smp_SRS011549	left_retroauricular_crease	10
smp_SRS011551	right_retroauricular_crease	11
smp_SRS011553	left_antecubital_fossa	13
smp_SRS011555	right_antecubital_fossa	14
smp_SRS011557	anterior_nares	12
smp_SRS011559	hard_palate	6
smp_SRS011561	buccal_mucosa	7
smp_SRS011563	attached_keratinized_gingiva	5
smp_SRS011565	palatine_tonsils	2
smp_SRS011567	throat	3
smp_SRS011569	supragingival_plaque	8
smp_SRS011571	subgingival_plaque	9
smp_SRS011573	left_retroauricular_crease	10
smp_SRS011575	right_retroauricular_crease	11
smp_SRS011576	left_antecubital_fossa	13
smp_SRS011577	right_antecubital_fossa	14
smp_SRS011578	anterior_nares	12
smp_SRS011580	vaginal_introitus	15
smp_SRS011582	mid_vagina	16
smp_SRS011584	posterior_fornix	17
smp_SRS011586	stool	0
smp_SRS011588	saliva	4
smp_SRS011589	tongue_dorsum	1
smp_SRS011592	hard_palate	6
smp_SRS011594	buccal_mucosa	7
smp_SRS011596	attached_keratinized_gingiva	5
smp_SRS011598	palatine_tonsils	2
smp_SRS011600	throat	3
smp_SRS011601	supragingival_plaque	8
smp_SRS011604	subgingival_plaque	9
smp_SRS011606	left_retroauricular_crease	10
smp_SRS011608	right_retroauricular_crease	11
smp_SRS011609	left_antecubital_fossa	13
smp_SRS011611	right_antecubital_fossa	14
smp_SRS011613	anterior_nares	12
smp_SRS011615	vaginal_introitus	15
smp_SRS011617	mid_vagina	16
smp_SRS011619	posterior_fornix	17
smp_SRS011621	stool	0
smp_SRS011623	saliva	4
smp_SRS011624	tongue_dorsum	1
smp_SRS011627	hard_palate	6
smp_SRS011629	buccal_mucosa	7
smp_SRS011631	attached_keratinized_gingiva	5
smp_SRS011634	throat	3
smp_SRS011635	supragingival_plaque	8
smp_SRS011638	subgingival_plaque	9
smp_SRS011640	left_retroauricular_crease	10
smp_SRS011641	right_retroauricular_crease	11
smp_SRS011642	left_antecubital_fossa	13
smp_SRS011645	anterior_nares	12
smp_SRS011647	vaginal_introitus	15
smp_SRS011649	mid_vagina	16
smp_SRS011651	posterior_fornix	17
smp_SRS011653	stool	0
smp_SRS011655	saliva	4
smp_SRS011657	tongue_dorsum	1
smp_SRS011659	hard_palate	6
smp_SRS011661	buccal_mucosa	7
smp_SRS011663	attached_keratinized_gingiva	5
smp_SRS011665	palatine_tonsils	2
smp_SRS011667	throat	3
smp_SRS011669	supragingival_plaque	8
smp_SRS011671	subgingival_plaque	9
smp_SRS011673	left_retroauricular_crease	10
smp_SRS011675	right_retroauricular_crease	11
smp_SRS011677	left_antecubital_fossa	13
smp_SRS011680	anterior_nares	12
smp_SRS011682	vaginal_introitus	15
smp_SRS011684	mid_vagina	16
smp_SRS011686	posterior_fornix	17
smp_SRS012191	stool	0
smp_SRS013096	right_antecubital_fossa	14
smp_SRS013141	subgingival_plaque	9
smp_SRS013156	anterior_nares	12
smp_SRS013177	stool	0
smp_SRS013185	saliva	4
smp_SRS013189	tongue_dorsum	1
smp_SRS013191	hard_palate	6
smp_SRS013193	buccal_mucosa	7
smp_SRS013195	attached_keratinized_gingiva	5
smp_SRS013197	palatine_tonsils	2
smp_SRS013199	throat	3
smp_SRS013201	supragingival_plaque	8
smp_SRS013203	subgingival_plaque	9
smp_SRS013205	left_retroauricular_crease	10
smp_SRS013207	right_retroauricular_crease	11
smp_SRS013209	left_antecubital_fossa	13
smp_SRS013211	right_antecubital_fossa	14
smp_SRS013213	anterior_nares	12
smp_SRS013216	stool	0
smp_SRS013228	saliva	4
smp_SRS013234	tongue_dorsum	1
smp_SRS013237	hard_palate	6
smp_SRS013240	buccal_mucosa	7
smp_SRS013243	attached_keratinized_gingiva	5
smp_SRS013246	palatine_tonsils	2
smp_SRS013249	throat	3
smp_SRS013252	supragingival_plaque	8
smp_SRS013255	subgingival_plaque	9
smp_SRS013258	left_retroauricular_crease	10
smp_SRS013261	right_retroauricular_crease	11
smp_SRS013264	left_antecubital_fossa	13
smp_SRS013267	right_antecubital_fossa	14
smp_SRS013270	anterior_nares	12
smp_SRS013386	stool	0
smp_SRS013407	anterior_nares	12
smp_SRS013456	saliva	4
smp_SRS013460	tongue_dorsum	1
smp_SRS013462	hard_palate	6
smp_SRS013464	buccal_mucosa	7
smp_SRS013466	attached_keratinized_gingiva	5
smp_SRS013468	palatine_tonsils	2
smp_SRS013470	throat	3
smp_SRS013472	supragingival_plaque	8
smp_SRS013474	subgingival_plaque	9
smp_SRS013490	stool	0
smp_SRS013498	saliva	4
smp_SRS013502	tongue_dorsum	1
smp_SRS013504	hard_palate	6
smp_SRS013506	buccal_mucosa	7
smp_SRS013508	attached_keratinized_gingiva	5
smp_SRS013510	palatine_tonsils	2
smp_SRS013512	throat	3
smp_SRS013516	subgingival_plaque	9
smp_SRS013543	stool	0
smp_SRS013551	saliva	4
smp_SRS013555	tongue_dorsum	1
smp_SRS013557	hard_palate	6
smp_SRS013559	buccal_mucosa	7
smp_SRS013561	attached_keratinized_gingiva	5
smp_SRS013563	palatine_tonsils	2
smp_SRS013565	throat	3
smp_SRS013567	supragingival_plaque	8
smp_SRS013569	subgingival_plaque	9
smp_SRS013581	vaginal_introitus	15
smp_SRS013583	mid_vagina	16
smp_SRS013585	posterior_fornix	17
smp_SRS013638	stool	0
smp_SRS013646	saliva	4
smp_SRS013650	tongue_dorsum	1
smp_SRS013652	hard_palate	6
smp_SRS013654	buccal_mucosa	7
smp_SRS013656	attached_keratinized_gingiva	5
smp_SRS013658	palatine_tonsils	2
smp_SRS013660	throat	3
smp_SRS013662	supragingival_plaque	8
smp_SRS013664	subgingival_plaque	9
smp_SRS013666	left_retroauricular_crease	10
smp_SRS013668	right_retroauricular_crease	11
smp_SRS013670	left_antecubital_fossa	13
smp_SRS013672	right_antecubital_fossa	14
smp_SRS013674	anterior_nares	12
smp_SRS013676	left_retroauricular_crease	10
smp_SRS013678	right_retroauricular_crease	11
smp_SRS013680	left_antecubital_fossa	13
smp_SRS013681	right_antecubital_fossa	14
smp_SRS013683	anterior_nares	12
smp_SRS013687	stool	0
smp_SRS013699	saliva	4
smp_SRS013705	tongue_dorsum	1
smp_SRS013708	hard_palate	6
smp_SRS013711	buccal_mucosa	7
smp_SRS013714	attached_keratinized_gingiva	5
smp_SRS013717	palatine_tonsils	2
smp_SRS013720	throat	3
smp_SRS013723	supragingival_plaque	8
smp_SRS013727	left_retroauricular_crease	10
smp_SRS013729	subgingival_plaque	9
smp_SRS013732	right_retroauricular_crease	11
smp_SRS013735	left_antecubital_fossa	13
smp_SRS013738	right_antecubital_fossa	14
smp_SRS013741	anterior_nares	12
smp_SRS013762	stool	0
smp_SRS013770	saliva	4
smp_SRS013774	tongue_dorsum	1
smp_SRS013776	hard_palate	6
smp_SRS013778	buccal_mucosa	7
smp_SRS013780	attached_keratinized_gingiva	5
smp_SRS013782	palatine_tonsils	2
smp_SRS013784	throat	3
smp_SRS013786	supragingival_plaque	8
smp_SRS013788	subgingival_plaque	9
smp_SRS013798	anterior_nares	12
smp_SRS013801	stool	0
smp_SRS013813	saliva	4
smp_SRS013819	tongue_dorsum	1
smp_SRS013822	hard_palate	6
smp_SRS013825	buccal_mucosa	7
smp_SRS013831	palatine_tonsils	2
smp_SRS013834	throat	3
smp_SRS013837	supragingival_plaque	8
smp_SRS014128	tongue_dorsum	1
smp_SRS014130	hard_palate	6
smp_SRS014132	buccal_mucosa	7
smp_SRS014138	tongue_dorsum	1
smp_SRS014140	hard_palate	6
smp_SRS014235	stool	0
smp_SRS014237	left_retroauricular_crease	10
smp_SRS014239	right_retroauricular_crease	11
smp_SRS014241	left_antecubital_fossa	13
smp_SRS014247	anterior_nares	12
smp_SRS014253	hard_palate	6
smp_SRS014255	buccal_mucosa	7
smp_SRS014257	attached_keratinized_gingiva	5
smp_SRS014261	throat	3
smp_SRS014267	supragingival_plaque	8
smp_SRS014271	tongue_dorsum	1
smp_SRS014273	hard_palate	6
smp_SRS014275	buccal_mucosa	7
smp_SRS014277	attached_keratinized_gingiva	5
smp_SRS014279	palatine_tonsils	2
smp_SRS014281	throat	3
smp_SRS014283	saliva	4
smp_SRS014287	stool	0
smp_SRS014289	left_retroauricular_crease	10
smp_SRS014291	right_retroauricular_crease	11
smp_SRS014295	right_antecubital_fossa	14
smp_SRS014297	anterior_nares	12
smp_SRS014315	attached_keratinized_gingiva	5
smp_SRS014317	palatine_tonsils	2
smp_SRS014319	throat	3
smp_SRS014321	supragingival_plaque	8
smp_SRS014323	subgingival_plaque	9
smp_SRS014331	right_retroauricular_crease	11
smp_SRS014333	left_antecubital_fossa	13
smp_SRS014335	right_antecubital_fossa	14
smp_SRS014337	anterior_nares	12
smp_SRS014339	vaginal_introitus	15
smp_SRS014341	mid_vagina	16
smp_SRS014343	posterior_fornix	17
smp_SRS014345	stool	0
smp_SRS014347	buccal_mucosa	7
smp_SRS014349	attached_keratinized_gingiva	5
smp_SRS014351	palatine_tonsils	2
smp_SRS014353	throat	3
smp_SRS014355	left_retroauricular_crease	10
smp_SRS014357	right_retroauricular_crease	11
smp_SRS014359	left_antecubital_fossa	13
smp_SRS014361	right_antecubital_fossa	14
smp_SRS014365	supragingival_plaque	8
smp_SRS014367	subgingival_plaque	9
smp_SRS014369	stool	0
smp_SRS014422	supragingival_plaque	8
smp_SRS014424	subgingival_plaque	9
smp_SRS014426	tongue_dorsum	1
smp_SRS014428	hard_palate	6
smp_SRS014430	buccal_mucosa	7
smp_SRS014432	attached_keratinized_gingiva	5
smp_SRS014434	palatine_tonsils	2
smp_SRS014436	throat	3
smp_SRS014442	stool	0
smp_SRS014444	vaginal_introitus	15
smp_SRS014446	mid_vagina	16
smp_SRS014448	posterior_fornix	17
smp_SRS014450	left_retroauricular_crease	10
smp_SRS014452	right_retroauricular_crease	11
smp_SRS014454	left_antecubital_fossa	13
smp_SRS014456	right_antecubital_fossa	14
smp_SRS014458	anterior_nares	12
smp_SRS014536	left_retroauricular_crease	10
smp_SRS014538	right_retroauricular_crease	11
smp_SRS014540	left_antecubital_fossa	13
smp_SRS014542	right_antecubital_fossa	14
smp_SRS014544	anterior_nares	12
smp_SRS014546	vaginal_introitus	15
smp_SRS014548	mid_vagina	16
smp_SRS014550	posterior_fornix	17
smp_SRS014552	supragingival_plaque	8
smp_SRS014554	subgingival_plaque	9
smp_SRS014556	saliva	4
smp_SRS014560	tongue_dorsum	1
smp_SRS014562	hard_palate	6
smp_SRS014564	buccal_mucosa	7
smp_SRS014566	attached_keratinized_gingiva	5
smp_SRS014568	palatine_tonsils	2
smp_SRS014570	throat	3
smp_SRS014572	stool	0
smp_SRS014593	tongue_dorsum	1
smp_SRS014595	hard_palate	6
smp_SRS014597	buccal_mucosa	7
smp_SRS014599	attached_keratinized_gingiva	5
smp_SRS014601	throat	3
smp_SRS014603	supragingival_plaque	8
smp_SRS014605	subgingival_plaque	9
smp_SRS014607	palatine_tonsils	2
smp_SRS014609	saliva	4
smp_SRS014613	stool	0
smp_SRS014615	left_retroauricular_crease	10
smp_SRS014617	right_retroauricular_crease	11
smp_SRS014619	left_antecubital_fossa	13
smp_SRS014621	right_antecubital_fossa	14
smp_SRS014623	anterior_nares	12
smp_SRS014625	vaginal_introitus	15
smp_SRS014627	mid_vagina	16
smp_SRS014629	posterior_fornix	17
smp_SRS014651	tongue_dorsum	1
smp_SRS014653	hard_palate	6
smp_SRS014655	buccal_mucosa	7
smp_SRS014657	attached_keratinized_gingiva	5
smp_SRS014659	stool	0
smp_SRS014661	palatine_tonsils	2
smp_SRS014663	throat	3
smp_SRS014665	left_retroauricular_crease	10
smp_SRS014667	right_retroauricular_crease	11
smp_SRS014669	left_antecubital_fossa	13
smp_SRS014671	right_antecubital_fossa	14
smp_SRS014675	supragingival_plaque	8
smp_SRS014677	subgingival_plaque	9
smp_SRS014746	saliva	4
smp_SRS014750	tongue_dorsum	1
smp_SRS014752	hard_palate	6
smp_SRS014756	attached_keratinized_gingiva	5
smp_SRS014758	palatine_tonsils	2
smp_SRS014760	throat	3
smp_SRS014762	supragingival_plaque	8
smp_SRS014764	subgingival_plaque	9
smp_SRS014768	left_retroauricular_crease	10
smp_SRS014770	right_retroauricular_crease	11
smp_SRS014772	left_antecubital_fossa	13
smp_SRS014774	right_antecubital_fossa	14
smp_SRS014776	anterior_nares	12
smp_SRS014778	vaginal_introitus	15
smp_SRS014780	mid_vagina	16
smp_SRS014782	posterior_fornix	17
smp_SRS014803	saliva	4
smp_SRS014807	tongue_dorsum	1
smp_SRS014809	hard_palate	6
smp_SRS014811	buccal_mucosa	7
smp_SRS014813	attached_keratinized_gingiva	5
smp_SRS014815	palatine_tonsils	2
smp_SRS014817	throat	3
smp_SRS014819	supragingival_plaque	8
smp_SRS014821	subgingival_plaque	9
smp_SRS014823	stool	0
smp_SRS014825	left_retroauricular_crease	10
smp_SRS014827	right_retroauricular_crease	11
smp_SRS014829	left_antecubital_fossa	13
smp_SRS014831	right_antecubital_fossa	14
smp_SRS014833	anterior_nares	12
smp_SRS014835	vaginal_introitus	15
smp_SRS014837	mid_vagina	16
smp_SRS014839	posterior_fornix	17
smp_SRS014857	saliva	4
smp_SRS014861	tongue_dorsum	1
smp_SRS014863	hard_palate	6
smp_SRS014865	buccal_mucosa	7
smp_SRS014867	attached_keratinized_gingiva	5
smp_SRS014869	palatine_tonsils	2
smp_SRS014871	throat	3
smp_SRS014873	supragingival_plaque	8
smp_SRS014875	subgingival_plaque	9
smp_SRS014877	left_retroauricular_crease	10
smp_SRS014879	right_retroauricular_crease	11
smp_SRS014881	right_antecubital_fossa	14
smp_SRS014883	left_antecubital_fossa	13
smp_SRS014885	stool	0
smp_SRS014903	saliva	4
smp_SRS014907	tongue_dorsum	1
smp_SRS014911	buccal_mucosa	7
smp_SRS014913	attached_keratinized_gingiva	5
smp_SRS014915	palatine_tonsils	2
smp_SRS014917	throat	3
smp_SRS014919	supragingival_plaque	8
smp_SRS014921	subgingival_plaque	9
smp_SRS014923	stool	0
smp_SRS014925	left_retroauricular_crease	10
smp_SRS014927	right_retroauricular_crease	11
smp_SRS014929	left_antecubital_fossa	13
smp_SRS014933	anterior_nares	12
smp_SRS014950	saliva	4
smp_SRS014952	tongue_dorsum	1
smp_SRS014954	hard_palate	6
smp_SRS014956	buccal_mucosa	7
smp_SRS014958	attached_keratinized_gingiva	5
smp_SRS014960	palatine_tonsils	2
smp_SRS014962	throat	3
smp_SRS014964	supragingival_plaque	8
smp_SRS014966	subgingival_plaque	9
smp_SRS014968	left_retroauricular_crease	10
smp_SRS014970	right_retroauricular_crease	11
smp_SRS014972	left_antecubital_fossa	13
smp_SRS014974	right_antecubital_fossa	14
smp_SRS014976	anterior_nares	12
smp_SRS014978	stool	0
smp_SRS014999	stool	0
smp_SRS015001	left_retroauricular_crease	10
smp_SRS015003	right_retroauricular_crease	11
smp_SRS015005	left_antecubital_fossa	13
smp_SRS015007	right_antecubital_fossa	14
smp_SRS015009	anterior_nares	12
smp_SRS015011	vaginal_introitus	15
smp_SRS015013	mid_vagina	16
smp_SRS015015	posterior_fornix	17
smp_SRS015017	saliva	4
smp_SRS015021	tongue_dorsum	1
smp_SRS015023	hard_palate	6
smp_SRS015025	buccal_mucosa	7
smp_SRS015027	attached_keratinized_gingiva	5
smp_SRS015029	palatine_tonsils	2
smp_SRS015031	throat	3
smp_SRS015033	supragingival_plaque	8
smp_SRS015035	subgingival_plaque	9
smp_SRS015113	saliva	4
smp_SRS015117	tongue_dorsum	1
smp_SRS015119	hard_palate	6
smp_SRS015121	buccal_mucosa	7
smp_SRS015123	attached_keratinized_gingiva	5
smp_SRS015125	palatine_tonsils	2
smp_SRS015127	throat	3
smp_SRS015129	supragingival_plaque	8
smp_SRS015131	subgingival_plaque	9
smp_SRS015133	stool	0
smp_SRS015135	left_retroauricular_crease	10
smp_SRS015137	right_retroauricular_crease	11
smp_SRS015139	left_antecubital_fossa	13
smp_SRS015141	right_antecubital_fossa	14
smp_SRS015143	anterior_nares	12
smp_SRS015145	vaginal_introitus	15
smp_SRS015147	mid_vagina	16
smp_SRS015149	posterior_fornix	17
smp_SRS015170	saliva	4
smp_SRS015174	tongue_dorsum	1
smp_SRS015176	hard_palate	6
smp_SRS015178	buccal_mucosa	7
smp_SRS015180	attached_keratinized_gingiva	5
smp_SRS015182	palatine_tonsils	2
smp_SRS015184	throat	3
smp_SRS015186	supragingival_plaque	8
smp_SRS015188	subgingival_plaque	9
smp_SRS015190	stool	0
smp_SRS015192	left_retroauricular_crease	10
smp_SRS015194	right_retroauricular_crease	11
smp_SRS015196	left_antecubital_fossa	13
smp_SRS015198	right_antecubital_fossa	14
smp_SRS015200	anterior_nares	12
smp_SRS015202	vaginal_introitus	15
smp_SRS015204	mid_vagina	16
smp_SRS015206	posterior_fornix	17
smp_SRS015227	saliva	4
smp_SRS015231	tongue_dorsum	1
smp_SRS015233	hard_palate	6
smp_SRS015235	buccal_mucosa	7
smp_SRS015237	attached_keratinized_gingiva	5
smp_SRS015239	palatine_tonsils	2
smp_SRS015241	throat	3
smp_SRS015243	supragingival_plaque	8
smp_SRS015245	subgingival_plaque	9
smp_SRS015247	stool	0
smp_SRS015249	left_retroauricular_crease	10
smp_SRS015251	right_retroauricular_crease	11
smp_SRS015253	left_antecubital_fossa	13
smp_SRS015255	right_antecubital_fossa	14
smp_SRS015257	anterior_nares	12
smp_SRS015259	vaginal_introitus	15
smp_SRS015261	mid_vagina	16
smp_SRS015263	posterior_fornix	17
smp_SRS015281	stool	0
smp_SRS015283	left_retroauricular_crease	10
smp_SRS015285	right_retroauricular_crease	11
smp_SRS015287	left_antecubital_fossa	13
smp_SRS015289	right_antecubital_fossa	14
smp_SRS015291	anterior_nares	12
smp_SRS015293	saliva	4
smp_SRS015297	tongue_dorsum	1
smp_SRS015299	hard_palate	6
smp_SRS015301	buccal_mucosa	7
smp_SRS015303	attached_keratinized_gingiva	5
smp_SRS015305	palatine_tonsils	2
smp_SRS015307	throat	3
smp_SRS015309	supragingival_plaque	8
smp_SRS015311	subgingival_plaque	9
smp_SRS015332	stool	0
smp_SRS015334	left_retroauricular_crease	10
smp_SRS015336	right_retroauricular_crease	11
smp_SRS015338	left_antecubital_fossa	13
smp_SRS015340	right_antecubital_fossa	14
smp_SRS015342	anterior_nares	12
smp_SRS015344	vaginal_introitus	15
smp_SRS015346	mid_vagina	16
smp_SRS015348	posterior_fornix	17
smp_SRS015350	saliva	4
smp_SRS015354	tongue_dorsum	1
smp_SRS015356	hard_palate	6
smp_SRS015358	buccal_mucosa	7
smp_SRS015360	attached_keratinized_gingiva	5
smp_SRS015362	palatine_tonsils	2
smp_SRS015364	throat	3
smp_SRS015366	supragingival_plaque	8
smp_SRS015368	subgingival_plaque	9
smp_SRS015389	stool	0
smp_SRS015395	tongue_dorsum	1
smp_SRS015397	hard_palate	6
smp_SRS015399	buccal_mucosa	7
smp_SRS015401	attached_keratinized_gingiva	5
smp_SRS015403	palatine_tonsils	2
smp_SRS015405	throat	3
smp_SRS015407	supragingival_plaque	8
smp_SRS015409	subgingival_plaque	9
smp_SRS015421	vaginal_introitus	15
smp_SRS015423	mid_vagina	16
smp_SRS015425	posterior_fornix	17
smp_SRS015442	left_retroauricular_crease	10
smp_SRS015444	right_retroauricular_crease	11
smp_SRS015446	left_antecubital_fossa	13
smp_SRS015448	right_antecubital_fossa	14
smp_SRS015450	anterior_nares	12
smp_SRS015452	stool	0
smp_SRS015454	saliva	4
smp_SRS015460	hard_palate	6
smp_SRS015462	buccal_mucosa	7
smp_SRS015464	attached_keratinized_gingiva	5
smp_SRS015466	palatine_tonsils	2
smp_SRS015468	throat	3
smp_SRS015470	supragingival_plaque	8
smp_SRS015472	subgingival_plaque	9
smp_SRS015494	left_retroauricular_crease	10
smp_SRS015496	right_retroauricular_crease	11
smp_SRS015500	right_antecubital_fossa	14
smp_SRS015504	vaginal_introitus	15
smp_SRS015506	mid_vagina	16
smp_SRS015508	posterior_fornix	17
smp_SRS015510	saliva	4
smp_SRS015514	tongue_dorsum	1
smp_SRS015516	hard_palate	6
smp_SRS015518	stool	0
smp_SRS015520	buccal_mucosa	7
smp_SRS015522	attached_keratinized_gingiva	5
smp_SRS015524	palatine_tonsils	2
smp_SRS015526	throat	3
smp_SRS015528	supragingival_plaque	8
smp_SRS015530	subgingival_plaque	9
smp_SRS015556	saliva	4
smp_SRS015560	tongue_dorsum	1
smp_SRS015564	hard_palate	6
smp_SRS015566	buccal_mucosa	7
smp_SRS015568	attached_keratinized_gingiva	5
smp_SRS015570	palatine_tonsils	2
smp_SRS015572	throat	3
smp_SRS015574	supragingival_plaque	8
smp_SRS015576	subgingival_plaque	9
smp_SRS015578	stool	0
smp_SRS015599	stool	0
smp_SRS015601	left_retroauricular_crease	10
smp_SRS015603	right_retroauricular_crease	11
smp_SRS015605	left_antecubital_fossa	13
smp_SRS015607	right_antecubital_fossa	14
smp_SRS015609	anterior_nares	12
smp_SRS015611	vaginal_introitus	15
smp_SRS015613	mid_vagina	16
smp_SRS015615	posterior_fornix	17
smp_SRS015621	tongue_dorsum	1
smp_SRS015623	hard_palate	6
smp_SRS015625	buccal_mucosa	7
smp_SRS015627	attached_keratinized_gingiva	5
smp_SRS015629	palatine_tonsils	2
smp_SRS015631	throat	3
smp_SRS015633	supragingival_plaque	8
smp_SRS015635	subgingival_plaque	9
smp_SRS015653	left_retroauricular_crease	10
smp_SRS015655	right_retroauricular_crease	11
smp_SRS015657	left_antecubital_fossa	13
smp_SRS015659	right_antecubital_fossa	14
smp_SRS015661	anterior_nares	12
smp_SRS015663	stool	0
smp_SRS015665	saliva	4
smp_SRS015669	tongue_dorsum	1
smp_SRS015671	hard_palate	6
smp_SRS015673	buccal_mucosa	7
smp_SRS015675	attached_keratinized_gingiva	5
smp_SRS015677	palatine_tonsils	2
smp_SRS015679	throat	3
smp_SRS015681	supragingival_plaque	8
smp_SRS015683	subgingival_plaque	9
smp_SRS015704	saliva	4
smp_SRS015708	tongue_dorsum	1
smp_SRS015710	hard_palate	6
smp_SRS015712	buccal_mucosa	7
smp_SRS015714	attached_keratinized_gingiva	5
smp_SRS015716	palatine_tonsils	2
smp_SRS015718	throat	3
smp_SRS015720	supragingival_plaque	8
smp_SRS015722	subgingival_plaque	9
smp_SRS015724	stool	0
smp_SRS015736	vaginal_introitus	15
smp_SRS015738	mid_vagina	16
smp_SRS015740	posterior_fornix	17
smp_SRS015758	saliva	4
smp_SRS015762	tongue_dorsum	1
smp_SRS015764	hard_palate	6
smp_SRS015766	buccal_mucosa	7
smp_SRS015768	attached_keratinized_gingiva	5
smp_SRS015772	palatine_tonsils	2
smp_SRS015774	right_retroauricular_crease	11
smp_SRS015776	left_antecubital_fossa	13
smp_SRS015778	right_antecubital_fossa	14
smp_SRS015780	anterior_nares	12
smp_SRS015782	stool	0
smp_SRS015784	throat	3
smp_SRS015786	supragingival_plaque	8
smp_SRS015788	subgingival_plaque	9
smp_SRS015805	left_retroauricular_crease	10
smp_SRS015807	right_retroauricular_crease	11
